"DN";"fid";"name";"date";"island";"gps_id";"radius";"colour_sca";"colour";"class_1";"class_2";"class_3";"cover_wate";"cover_shel";"cover_rock";"cover_chan";"cover_uca";"cover_macr";"uca_class";"greeness";"mangrove";"penetrabil";"camera";"photo";"obs";"ele";"time";"gpxx_Waypo";"wptx1_Wayp";"ctx_Creati";"layer";"path";"area..ha.";"X.finos";"test1_clas";"test2_clas";"test3_clas";"test4_clas";"test5_clas";"test6_clas";"sandy_uca";"teste_fin";"test_fin2";"teste_bs";"finalvalue";"class_name";"train_val";"classname";"fv2";"new_test";"fv3";"fv4";"fv5";"fv6";"finalclass";"uca";"fpc";"ele_2";"time_2";"name_2";"gpxx_Way_1";"wptx1_Wa_1";"ctx_Crea_1";"radius_2";"Spectral1"
3;2507;"2507";"13/03/2019";"Adonga";"1";"15";"10YR";"7B";"wet";"muddy_sand";"-";30;10;0;0;0;0;"-";"N";"N";7;"Belo";"100-454/455/456";NA;1.351022;"2019/03/13 09:47:32.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-13T09:47:32Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.07;18.16;"sandy";"sandy_water";"muddy_sand";"muddy";"wet_muddy";"sediment";"other";"sandy";"muddy";"other";"6";"muddy";"training";"muddy";"2";"4";"2";"4";"4";"3";"muddy";"2";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2398;"2398";"20/02/2019";"Adonga";"1";"20";"10YR";"8C";"dry";"beach_sand_uca";"uca";0;0;0;0;100;0;"M";"N";"N";6;"Belo";"100-270/271";NA;2.762339;"2019/02/20 16:54:29.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-02-20T16:54:29Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.124;1.55;"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"beach_sand_uca";"beach_sand_uca";"beach_sand";"2";"beach_sand_uca";"training";"beach_sand";"1";"1";"2";"1";"1";"1";"sandy-with-FBA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"Sand with FBA"
4;2533;"2533";"14/03/2019";"Adonga";"1";"20";"-";"-";"-";"muddy_sand";"uca";2;0;0;1;0;0;"-";"N";"N";20;"Belo";"100-498/499";"1/3 da area tem penetrabilidade de 12 e o resto 20+";0.87072;"2019/03/14 11:41:06.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-14T11:41:06Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.124;12.83;"sandy_uca";"sandy_uca";"muddy_sand_uca";"muddy_uca";"muddy_uca";"muddy_uca";"other";"sandy_uca";"muddy_uca";"other";"7";"muddy_uca";"training";"muddy_uca";"2";"3";"2";"4";"6";"3";"muddy";"2";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2403;"2403";"20/02/2019";"Adonga";"1";"35";"-";"-";"wet";"muddy_sand";"-";90;1;0;1;0;0;"-";"N";"N";15;"Belo";"100-278/279";NA;1.87294;"2019/02/20 17:21:27.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-02-20T17:21:27Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.379;12.29;"sandy";"sandy_water";"muddy_sand";"muddy";"wet_muddy";"sediment";"other";"sandy";"muddy";"other";"6";"muddy";"training";"muddy";"2";"4";"2";"4";"4";"3";"muddy";"2";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
4;2424;"2424";"26/02/2019";"Adonga";"1";"60";"10YR";"8C";"wet";"sand";"-";15;0;0;0;0;0;"-";"N";"N";4;"Belo";"100-306/307";NA;0.533211;"2019/02/26 11:07:57.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-02-26T11:07:57Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";1.112;3.96;"sandy";"sandy_water";"sandy";"sandy";"sandy";"sediment";"other";"sandy";"sandy";"other";"3";"sandy";"validation";"sandy";"2";"2";"2";"2";"2";"2";"sandy";"2";"1";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2386;"2386";"10/02/2019";"Adonga";"1";"poligono do johnny feito no plot 4D";"10YR";"7B";"-";"muddy_sand";"uca";10;0;0;0;100;0;"H";"N";"N";16;"Belo";"100-152/153";"ver nome do ficheiro do poligono de uca do 4D";-8388608;"2019/02/10 10:26:50.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-02-10T10:26:50Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.031;14.62;"sandy_uca";"sandy_uca";"muddy_sand_uca";"muddy_uca";"muddy_uca";"muddy_uca";"other";"sandy_uca";"muddy_uca";"other";"7";"muddy_uca";"training";"muddy_uca";"2";"3";"1";"5";"6";"4";"muddy-with-FBA";"1";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
4;2428;"2428";"26/02/2019";"Adonga";"1";"20";"-";"-";"dry";"beach_sand_uca";"uca";0;0;0;0;100;0;"H";"N";"N";4;"Belo";"100-314/315";NA;-0.20792;"2019/02/26 11:38:11.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-02-26T11:38:11Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.124;2.94;"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"beach_sand_uca";"beach_sand_uca";"beach_sand";"2";"beach_sand_uca";"training";"beach_sand";"1";"1";"2";"1";"1";"1";"sandy-with-FBA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"Sand with FBA"
4;2506;"2506";"13/03/2019";"Adonga";"1";"120";"10YR";"7A";"-";"mud";"uca";0;0;0;5;100;0;"H";"N";"N";20;"Belo";"100-452/453";NA;1;"2019/03/13 09:33:10.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-13T09:33:10Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";4.45;56.18;"muddy_uca";"muddy_uca";"muddy_uca";"muddy_uca";"muddy_uca";"muddy_uca";"other";"muddy_uca";"muddy_uca";"other";"7";"muddy_uca";"training";"muddy_uca";"2";"5";"1";"5";"6";"4";"muddy-with-FBA";"1";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2394;"2394";"20/02/2019";"Adonga";"1";"20";"10YR";"8C";"dry";"beach_sand_uca";"uca";0;0;0;0;100;0;"M";"N";"N";6;"Belo";"100-270/271";NA;3.56859;"2019/02/20 16:22:33.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-02-20T16:22:33Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.124;2.18;"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"beach_sand_uca";"beach_sand_uca";"beach_sand";"2";"beach_sand_uca";"training";"beach_sand";"1";"1";"2";"1";"1";"1";"sandy-with-FBA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"Sand with FBA"
3;2502;"2502";"13/03/2019";"Adonga";"1";"90";"10YR";"7B";"wet";"muddy_sand";"-";70;10;0;0;0;0;"-";"N";"N";16;"Belo";"100-446/447";"tambem pode ter wet sandy mud";7.405155;"2019/03/13 08:54:03.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-13T08:54:03Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";2.503;13.22;"sandy";"sandy_water";"muddy_sand";"muddy";"wet_muddy";"sediment";"other";"sandy";"muddy";"other";"6";"muddy";"training";"muddy";"2";"4";"2";"4";"4";"3";"muddy";"2";"2";7.405155;"2019/03/13 08:54:03.000";"2502";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-13T08:54:03Z</ctx:CreationTime>";"90";"not Sand with FBA"
3;2527;"2527";"14/03/2019";"Adonga";"1";"50";"10YR";"8B";"wet";"sand";"-";20;0;0;0;0;0;"-";"N";"N";6;"Belo";"100-490/491";NA;0.284092;"2019/03/14 11:00:00.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-14T11:00:00Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.773;3.66;"sandy";"sandy_water";"sandy";"sandy";"wet_sandy";"sediment";"other";"sandy";"sandy";"other";"5";"wet_sandy";"training";"wet_sandy";"2";"2";"2";"3";"3";"2";"sandy";"2";"1";0.284092;"2019/03/14 11:00:00.000";"2527";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-14T11:00:00Z</ctx:CreationTime>";"50";"not Sand with FBA"
4;2483;"2483";"07/03/2019";"Adonga";"1";"20";"10YR";"8C";"wet";"sand";"uca";2;0;0;0;100;0;"L";"N";"N";20;"Belo";"100-391/392";NA;5.436708;"2019/03/07 16:21:58.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-07T16:21:58Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.124;5.96;"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"other";"4";"sandy_uca";"training";"sandy_uca";"1";"3";"2";"1";"1";"1";"sandy-with-FBA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"Sand with FBA"
4;2482;"2482";"07/03/2019";"Adonga";"1";"10";"10YR";"7A";"wet";"mud";"uca";25;0;0;0;100;0;"H";"N";"N";20;"Belo";"100-389/390";NA;4.555375;"2019/03/07 16:06:15.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-07T16:06:15Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.031;39.51;"muddy_uca";"muddy_uca_water";"muddy_uca";"muddy_uca";"muddy_uca";"muddy_uca";"other";"muddy_uca";"muddy_uca";"other";"7";"muddy_uca";"training";"muddy_uca";"2";"5";"1";"5";"6";"4";"muddy-with-FBA";"1";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
4;2481;"2481";"7/03/2019";"Adonga";"1";"5";"-";"-";"wet";"sandy_mud";"-";40;0;0;0;0;0;"-";"S";"N";20;"telMH";"160941/160945/160958";"uca pequena e yellowness";5.095448;"2019/03/07 16:02:57.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-07T16:02:57Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.008;28.07;"muddy";"muddy_water";"muddy";"muddy";"wet_muddy";"sediment";"other";"muddy";"muddy";"other";"6";"muddy";"training";"muddy";"2";"6";"2";"4";"4";"3";"muddy";"2";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
4;2485;"2485";"07/03/2019";"Adonga";"1";"10";"10YR";"7B";"wet";"muddy_sand";"uca";0;0;0;0;100;0;"H";"N";"N";20;"Belo";"100-393/394";"sed id = 1-2484";1;"2019/03/07 16:28:23.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-07T16:28:23Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.031;19.07;"sandy_uca";"sandy_uca";"muddy_sand_uca";"muddy_uca";"muddy_uca";"muddy_uca";"other";"sandy_uca";"muddy_uca";"other";"7";"muddy_uca";"training";"muddy_uca";"2";"3";"1";"5";"6";"4";"muddy-with-FBA";"1";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
4;2484;"2484";"07/03/2019";"Adonga";"1";"5";"10YR";"7B";"wet";"muddy_sand";"uca";0;0;0;0;100;0;"H";"N";"N";20;"Belo";"100-393/394";NA;1;"2019/03/07 16:25:56.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-07T16:25:56Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.008;18.07;"sandy_uca";"sandy_uca";"muddy_sand_uca";"muddy_uca";"muddy_uca";"muddy_uca";"other";"sandy_uca";"muddy_uca";"other";"7";"muddy_uca";"training";"muddy_uca";"2";"3";"1";"5";"6";"4";"muddy-with-FBA";"1";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
